ID_2,est,se
ESP.6.3_1,0,0
ESP.6.4_1,0.001,0.03162277660168379
ESP.7.1_1,0.582,0.49347696959383985
ESP.7.2_1,0.763,0.4254550646214145
ESP.8.1_1,0,0
ESP.9.1_1,0,0
FRA.10.10_1,0.33,0.47044800065609943
GRC.1.1_1,0,0
GRC.6.1_1,0,0
HKG.2_1,0,0
HRV.20.31_1,0.431,0.4954639083570917
HUN.10.2_1,0,0
HUN.10.6_1,0,0
HUN.12.1_1,0.137,0.3440194025768741
HUN.14.10_1,0.156,0.3630369069334353
HUN.14.14_1,0.029,0.1678904023081343
HUN.14.15_1,0.002,0.04469897088298564
HUN.14.5_1,0,0
HUN.15.7_1,0,0
HUN.2.3_1,0.015,0.12161327966052798
HUN.20.4_1,0.111,0.3142893217686178
HUN.4.8_1,0.161,0.3677148544921924
HUN.5.1_1,0,0
HUN.6.7_1,0,0
IND.20.26_1,0,0
IND.32.9_1,0.009,0.09448771310560929
ITA.1.1_1,0,0
ITA.1.2_1,0.324,0.4682341756463781
ITA.1.3_1,0.006,0.07726558075864033
ITA.1.4_1,0.048,0.21387319079712103
ITA.10.1_1,0,0
ITA.10.10_1,0.472,0.499465179432426
ITA.10.11_1,0.186,0.3893013685508382
ITA.10.12_1,0.038,0.19129190414806527
ITA.10.2_1,0,0
ITA.10.3_1,0,0
ITA.10.4_1,0.48,0.4998498272980094
ITA.10.5_1,0.807,0.39485048677557294
ITA.10.6_1,0.193,0.39485048677557294
ITA.10.7_1,0.002,0.04469897088298564
ITA.10.8_1,0,0
ITA.10.9_1,0.089,0.2848862231842041
ITA.11.1_1,0.356,0.4790547917446328
ITA.11.2_1,0.107,0.30926792049394103
ITA.11.3_1,0,0
ITA.11.4_1,0,0
ITA.11.5_1,0,0
ITA.12.1_1,0.063,0.24308453280719053
ITA.12.2_1,0.991,0.09448771310560929
ITA.13.1_1,0,0
ITA.13.2_1,0.005,0.07056897321046962
ITA.13.3_1,0.302,0.45935499018406994
ITA.13.4_1,0.506,0.5002141683461337
ITA.13.5_1,0.515,0.5000250243988045
ITA.13.6_1,0.006,0.07726558075864033
ITA.13.7_1,0,0
ITA.13.8_1,0.313,0.4639463829433809
ITA.14.1_1,0.458,0.4984821807090846
ITA.14.2_1,1,0
ITA.14.3_1,0.745,0.4360793106364542
ITA.14.4_1,0.934,0.24840633185509925
ITA.14.5_1,0.609,0.4882185549089233
ITA.14.6_1,0.999,0.03162277660168379
ITA.14.7_1,0.168,0.3740533597174552
ITA.14.8_1,0.608,0.4884409632438444
ITA.15.1_1,0.235,0.42421097929562707
ITA.15.2_1,0.002,0.04469897088298564
ITA.15.3_1,0,0
ITA.15.4_1,0.751,0.4326501891669368
ITA.15.5_1,0,0
ITA.15.6_1,0,0
ITA.15.7_1,0.261,0.4393996723622721
ITA.15.8_1,0.217,0.4124088760939574
ITA.15.9_1,0.001,0.03162277660168379
ITA.16.1_1,0,0
ITA.16.10_1,0,0
ITA.16.2_1,0,0
ITA.16.3_1,0.025,0.15620307103062794
ITA.16.4_1,0,0
ITA.16.5_1,0,0
ITA.16.6_1,0.627,0.4838440917331792
ITA.16.7_1,0.102,0.30279974849343533
ITA.16.8_1,0.018,0.13301764429463367
ITA.16.9_1,0.252,0.4343785039394614
ITA.17.1_1,0,0
ITA.17.2_1,0,0
ITA.18.1_1,0,0
ITA.18.2_1,0.001,0.03162277660168379
ITA.19.1_1,0.624,0.4846223879051182
ITA.2.1_1,0,0
ITA.2.2_1,0.017,0.1293357171384909
ITA.2.3_1,0,0
ITA.2.4_1,0.154,0.3611293596682696
ITA.2.5_1,0,0
ITA.2.6_1,0,0
ITA.20.1_1,0.285,0.4516403203645341
ITA.20.2_1,0,0
ITA.20.3_1,0.147,0.35428310221702153
ITA.20.4_1,0,0
ITA.20.5_1,0,0
ITA.20.6_1,0,0
ITA.20.7_1,0.004,0.06315051850925682
ITA.3.1_1,0.001,0.03162277660168379
ITA.3.2_1,0,0
