NAME_1,year,month,est,se
Buzău,2016,08,1.4140000000000001,1.4909213267817922
Caaguazú,2016,08,0.139,0.3461196307619647
Cajamarca,2016,08,0.153,0.3601676286407771
Calabria,2016,08,2.151,2.435868918734563
California,2016,08,1.763,2.7616094004518614
Callao,2016,08,0,0
Camarines Norte,2016,08,0.202,0.40169311340544206
Campania,2016,08,1.075,1.4386527883277345
Çanakkale,2016,08,1.437,1.989072815205766
Canelones,2016,08,0.091,0.28775302222878874
Çankiri,2016,08,0.638,0.4808192874533916
Cantabria,2016,08,0.003,0.05471740119919799
Caraș-Severin,2016,08,0.8009999999999999,0.9782412488110179
Castilla y León,2016,08,0.054,0.34491233948098843
Castilla-La Mancha,2016,08,0.041,0.347021035942689
Cataluña,2016,08,0.008,0.11503715160958011
Cauca,2016,08,0.127,0.33313958333104454
Cavite,2016,08,0.34299999999999997,0.7504481674980472
Ceará,2016,08,1.268,2.5527231028592334
Central,2016,08,0.66,1.5805816322281867
Central Equatoria,2016,08,0.233,0.4229537680289536
Centre,2016,08,0.611,0.8832329736982436
Centre-Val de Loire,2016,08,1.358,1.420756071306748
Cesar,2016,08,0.31,0.5534099392067316
Ceuta y Melilla,2016,08,0.889,0.9897069688956599
Chachoengsao,2016,08,0.29,0.6978334601752765
Chahar Mahall and Bakhtiari,2016,08,0.547,0.4980351785155734
Chaouia - Ouardigha,2016,08,1.248,1.4631668388577244
Cherkasy,2016,08,0.595,0.9030726940004976
Chernihiv,2016,08,1.359,1.4689327610558125
Chernivtsi,2016,08,0.6379999999999999,0.9310986392905614
Chhattisgarh,2016,08,1.323,2.407758132057336
Chiang Mai,2016,08,0.219,0.4137755553560531
Chiang Rai,2016,08,0.471,0.49940805801309257
Chiapas,2016,08,0.533,1.010429967456538
Chihuahua,2016,08,0.005,0.07056897321046962
Chinandega,2016,08,0.31,0.462724663395106
Chiriquí,2016,08,0.057,0.2319586273558386
Chittagong,2016,08,0.408,0.778181818754927
Chlef,2016,08,0.445,0.49721446300587663
Chon Buri,2016,08,0.123,0.32860155048170264
Chungcheongbuk-do,2016,08,1.483,1.4995202453090792
Chungcheongnam-do,2016,08,0.469,0.4992877810324305
Chuvash,2016,08,1.662,1.4143558039055129
City of St. Petersburg,2016,08,0.016,0.12553788177183714
Ciudad de Buenos Aires,2016,08,0,0
Cluj,2016,08,0.463,0.6336957534983101
Coahuila,2016,08,0.753,1.2830775817090418
Cochabamba,2016,08,0.055,0.3455396304894672
Coclé,2016,08,0.292,0.45490981847278583
Coimbra,2016,08,0.328,0.46971974265154814
Colima,2016,08,0.09,0.28632495871296654
Colombo,2016,08,0.9199999999999999,1.3268492331816684
Colón,2016,08,0.241,0.42790431418963526
Comayagua,2016,08,0.299,0.4580489153014215
Compostela Valley,2016,08,0.156,0.3630369069334353
Comunidad de Madrid,2016,08,0,0
Comunidad Foral de Navarra,2016,08,0.003,0.05471740119919799
Comunidad Valenciana,2016,08,0.015,0.12161327966052798
Constanța,2016,08,1.393,1.4934066066050344
Constantine,2016,08,1.016,1.4196596914194504
Copán,2016,08,0.497,0.5002411830719671
Coquimbo,2016,08,0,0
Córdoba,2016,08,0.177,0.5295639322917456
Corse,2016,08,0.513,0.5000810745080052
Çorum,2016,08,0.884,0.9934010362817011
Covasna,2016,08,0.264,0.4410198391212106
Crete,2016,08,0.012,0.10893974420691407
Crimea,2016,08,2.151,2.4389158290816977
Csongrád,2016,08,0.483,0.49996095943679536
Cundinamarca,2016,08,2.296,4.426136816051905
Dadra and Nagar Haveli,2016,08,0.074,0.2619018758859749
Daegu,2016,08,1.4260000000000002,1.7279443770270304
Daejeon,2016,08,1.2389999999999999,1.4565076438824192
Dagestan,2016,08,0.575,0.9046194126438305
Daglig-Shirvan,2016,08,0.644,0.4790547917446328
Dakar,2016,08,0.016,0.15323605626221176
Dakhlet Nouadhibou,2016,08,0.511,0.500129112459102
Dar es Salaam,2016,08,0.326,0.4689818162188636
Denizli,2016,08,0.6519999999999999,0.881484165716393
Dhaka,2016,08,1.6239999999999999,2.6457391235223624
Diekirch,2016,08,1.014,0.9929264529672839
Dire Dawa,2016,08,0.15,0.35725009115132167
Distrito Capital,2016,08,0.082,0.27450200609713465
Distrito Federal,2016,08,0.658,1.3680141701509168
Distrito Nacional,2016,08,0,0
Diyarbakir,2016,08,0.773,0.9679218723451548
Djelfa,2016,08,0.8049999999999999,0.9559490020775474
Djiboutii,2016,08,0.236,0.4248346554654934
Dnipropetrovs'k,2016,08,0.774,0.9620130450962767
Dobrich,2016,08,1.068,0.9973782224044786
Dolj,2016,08,1.554,1.4833808867776208
Dolnośląskie,2016,08,0.713,0.4525879316064844
Donets'k,2016,08,1.5030000000000001,1.4678447561272256
Đồng Tháp,2016,08,0.458,0.4984821807090846
Dosso,2016,08,0.306,0.4610602743422779
Drenthe,2016,08,6.345,5.682858260106706
Dubai,2016,08,0.61,1.1799022255262126
Dublin,2016,08,0.531,0.4992877810324305
Durango,2016,08,0.031,0.17340435135563662
Durrës,2016,08,0.353,0.4781418404821101
Düzce,2016,08,0.606,0.4888793337859589
East,2016,08,0.001,0.03162277660168379
East Azarbaijan,2016,08,1.25,1.4046454130252761
Eastern Cape,2016,08,0.166,0.37226681638655706
Eastern Finland,2016,08,1.3,0.9530875467761029
Edirne,2016,08,0.2,0.40020015012510946
Edo,2016,08,0.253,0.4349484799147827
El Bayadh,2016,08,0.314,0.4643485970901814
El Oro,2016,08,0.175,0.38015722999769386
El Tarf,2016,08,0.749,0.967353763405068
Elazığ,2016,08,0.442,0.49687310541312546
Emilia-Romagna,2016,08,2.305,3.3050015644956345
England,2016,08,3.373,3.5021651387341084
Ennedi Ouest,2016,08,0.318,0.4659324984298618
Entre Ríos,2016,08,0.082,0.27450200609713465
Enugu,2016,08,0.157,0.3639828065767441
Epirus and Western Macedonia,2016,08,0.16,0.366789496216201
Escuintla,2016,08,0.312,0.7239708080488897
Esfahan,2016,08,1.274,2.09023621991838
Eskisehir,2016,08,0.498,0.5002461856388775
Espírito Santo,2016,08,0.508,1.0502435664255563
Estuaire,2016,08,0.207,0.4053582555164201
Extremadura,2016,08,0.046,0.2920565713184163
Far-Western,2016,08,0.563,0.4962633144584408
Farg'ona,2016,08,1.194,0.9652956536145846
Faro,2016,08,1.9620000000000002,1.9902625182506863
Fars,2016,08,1.35,1.8155336337923478
Federacija Bosna i Hercegovina,2016,08,1.35,1.3331728563170673
Federal Capital Territory,2016,08,0.255,0.4360793106364542
Fejér,2016,08,2.473,2.604100508049755
Fès - Boulemane,2016,08,0.487,0.8398720631889535
Fier,2016,08,0.973,0.9999908853960314
Flevoland,2016,08,3.11,2.904165387420189
Florida,2016,08,2.662,3.691258234058025
Francisco Morazán,2016,08,0,0
Free State,2016,08,0.027,0.162164414398774
Fribourg,2016,08,0.542,0.4984821807090846
Friesland,2016,08,9.877,8.114013402135843
Friuli-Venezia Giulia,2016,08,2.171,1.9296760389948062
Gabès,2016,08,0.7250000000000001,0.9456694105065415
Gaborone,2016,08,0.372,0.4835802413765991
Galați,2016,08,1.171,0.9684593501680381
Galicia,2016,08,0.36,0.7748649272897172
Gangwon-do,2016,08,1.356,1.4867075506802616
Ganja-Qazakh,2016,08,0.5720000000000001,0.8763755325559117
Gauteng,2016,08,0.895,1.6791089068755116
Gävleborg,2016,08,0.784,0.4117201883725323
Gaza,2016,08,0.36,0.768754973388474
Gaziantep,2016,08,0.777,0.9747870874312796
Gelderland,2016,08,28.279,23.578139391230817
Genève,2016,08,0.562,0.4963893657225167
Georgia,2016,08,0.845,0.9844731449200249
Gharb - Chrarda - Béni Hssen,2016,08,0.35,0.47720826452161086
Gilan,2016,08,2.488,3.087396995891425
Giresun,2016,08,1.0190000000000001,0.999634319993066
Goa,2016,08,0.36,0.48024018015013137
Goiás,2016,08,0.608,0.8454074117943953
Golestan,2016,08,0.4,0.4901430813958718
Gomel,2016,08,0.476,0.4996735671152454
Grad Beograd,2016,08,2.045,2.4176826666159967
Grad Sofiya,2016,08,0.045,0.20740785428237288
Grad Zagreb,2016,08,0.031,0.17340435135563662
Grand Casablanca,2016,08,0.831,0.9801070684858221
Grand Est,2016,08,2.136,2.3156966472058924
Greater Accra,2016,08,0.45699999999999996,0.8219591330345577
Grevenmacher,2016,08,1.2810000000000001,0.9601421395326153
Groningen,2016,08,5.271,4.553485648300857
Guanacaste,2016,08,0.172,0.3775692765024169
Guanajuato,2016,08,0.5680000000000001,0.9981270127655871
Guarda,2016,08,0.42,0.49380547166252
Guárico,2016,08,0.323,0.6521821516075583
Guatemala,2016,08,0.374,0.5282792122595847
Guayas,2016,08,0.465,0.759572889395107
Gujarat,2016,08,3.695,5.4336712793621
Gyeonggi-do,2016,08,4.653,5.342927457069098
Gyeongsangbuk-do,2016,08,1.888,1.9590723355973612
Gyeongsangnam-do,2016,08,2.0629999999999997,2.362222944302033
Gyor-Moson-Sopron,2016,08,1.142,1.3475058960425554
Hà Nội,2016,08,0.116,0.3203851535989872
Hadramawt,2016,08,0.253,0.4349484799147827
Hải Dương,2016,08,0.428,0.49503642397409614
Hải Phòng,2016,08,0.736,0.8974949265422534
Hajdú-Bihar,2016,08,1.506,1.4731857172173566
Hamadan,2016,08,0.667,0.9071494171627513
Hamburg,2016,08,0.019,0.13659303663678343
Haryana,2016,08,2.833,4.422885800557404
Hatay,2016,08,0.356,0.4790547917446328
Haut-Katanga,2016,08,0.303,0.45978516983739526
Hauts-de-France,2016,08,1.919,1.8391593656623977
Hedmark,2016,08,0.64,0.48024018015013137
Hessen,2016,08,3.229,3.0852675780973096
Heves,2016,08,0.909,1.2996441548039295
Hidalgo,2016,08,0.617,0.8028247728922397
Himachal Pradesh,2016,08,0.223,0.4164666186436128
Hims,2016,08,0.48,0.8079560964920444
Hồ Chí Minh,2016,08,0.387,0.787165375429685
Hong Kong,2016,08,0,0
Honiara,2016,08,0.202,0.40169311340544206
Hormozgan,2016,08,0.532,1.103633043915548
Hovedstaden,2016,08,0.716,0.4511624403111894
Huehuetenango,2016,08,0.267,0.4426137220047599
Huila,2016,08,0.5429999999999999,0.8893135395300997
Hunan,2016,08,0.239,0.42668613881993056
Iași,2016,08,0.461,0.4987261049190505
Ica,2016,08,0.204,0.4031706171666613
Ida-Viru,2016,08,0.61,0.4879939939570344
Idlib,2016,08,0.278,0.4482375674984382
IJsselmeer,2016,08,0.457,0.49839682924292306
Île-de-France,2016,08,1.34,2.175223363083132
Ilfov,2016,08,2.274,2.298765718785859
Illinois,2016,08,0.497,0.7411994764480713
Illizi,2016,08,0.419,0.4936422618482768
Imereti,2016,08,1.774,1.6038914654434393
Imo,2016,08,0.298,0.4576083537321029
Incheon,2016,08,1.157,1.3934843895495863
Indiana,2016,08,0.504,0.5002341793942455
Irbid,2016,08,1.977,2.4188211482656956
Irkutsk,2016,08,1.214,0.9768392793598824
Isabela,2016,08,0.194,0.39562674393994207
Islamabad,2016,08,0,0
Islas Baleares,2016,08,0,0
Islas Canarias,2016,08,0,0
Istanbul,2016,08,11.058,12.003123417207055
Istarska,2016,08,2.247,2.465525821815198
Ivano-Frankivs'k,2016,08,0.861,0.9310300009647815
Ivanovo,2016,08,0.599,0.4903462444430868
Izmir,2016,08,1.505,1.4847483000556532
Jaffna,2016,08,0.585,0.9056811614416149
Jakarta Raya,2016,08,1.121,1.7710798000197228
Jalal-Abad,2016,08,0.171,0.3766973598273565
Jalisco,2016,08,1.627,2.6833893258031423
Jambi,2016,08,0.329,0.47008507738491334
Jammu and Kashmir,2016,08,1.266,1.4367336730395392
Janub Sina',2016,08,0.278,0.4482375674984382
Jász-Nagykun-Szolnok,2016,08,1.93,2.3538343708243943
Jawa Barat,2016,08,2.232,4.037538738822074
Jawa Tengah,2016,08,2.489,5.0360971799428285
Jawa Timur,2016,08,2.342,4.732912587499904
Jeju,2016,08,0.538,0.49880337288836046
Jeollabuk-do,2016,08,0.306,0.4610602743422779
Jeollanam-do,2016,08,1.185,1.45168172736745
Jharkhand,2016,08,2.856,4.042460814687546
Jihočeský,2016,08,0.57,0.49532347546360583
Jihomoravský,2016,08,0.718,0.9572704349928955
Jijel,2016,08,0.38999999999999996,0.6669980468049808
Jizan,2016,08,0.514,1.1053963360017267
Jõgeva,2016,08,0.603,0.4895208173618673
Johor,2016,08,0.174,0.37929917989348183
Jönköping,2016,08,0.603,0.4895208173618673
Jugovzhodna Slovenija,2016,08,0.506,0.5002141683461337
Jujuy,2016,08,0.09,0.28632495871296654
Južno-Bački,2016,08,1.382,1.4655642155077957
Južno-Banatski,2016,08,0.536,0.498951854343636
K. Maras,2016,08,0.651,0.4768924684102554
Kabardin-Balkar,2016,08,0.38,0.48562931937418674
Kaduna,2016,08,0.159,0.36585906146062974
Kafr ash Shaykh,2016,08,0.446,0.4973241712719495
Kakheti,2016,08,1.526,1.4882404447267379
Kalasin,2016,08,0.127,0.33313958333104454
