gid_1,month,year,est,se
MKD.69_1,08,2023,0,0
MKD.6_1,08,2023,0,0
MKD.70_1,08,2023,0,0
MKD.72_1,08,2023,0,0
MKD.73_1,08,2023,0,0
MKD.74_1,08,2023,0,0
MKD.75_1,08,2023,0,0
MKD.76_1,08,2023,0,0
MKD.77_1,08,2023,0,0
MKD.79_1,08,2023,0,0
MKD.7_1,08,2023,0,0
MKD.81_1,08,2023,0,0
MKD.83_1,08,2023,0,0
MKD.84_1,08,2023,0,0
MKD.85_1,08,2023,0,0
MKD.8_1,08,2023,0,0
MKD.9_1,08,2023,0,0
MLT.1_1,08,2023,0,0
MLT.2_1,08,2023,0,0
MLT.3_1,08,2023,0,0
MLT.4_1,08,2023,0,0
MLT.5_1,08,2023,0,0
MNE.10_1,08,2023,0,0
MNE.11_1,08,2023,0,0
MNE.12_1,08,2023,0,0
MNE.13_1,08,2023,0,0
MNE.14_1,08,2023,0,0
MNE.15_1,08,2023,0,0
MNE.16_1,08,2023,0,0
MNE.17_1,08,2023,0,0
MNE.18_1,08,2023,0,0
MNE.19_1,08,2023,0,0
MNE.1_1,08,2023,0,0
MNE.20_1,08,2023,0,0
MNE.21_1,08,2023,0,0
MNE.2_1,08,2023,0,0
MNE.3_1,08,2023,0,0
MNE.4_1,08,2023,0,0
MNE.5_1,08,2023,0,0
MNE.6_1,08,2023,0,0
MNE.7_1,08,2023,0,0
MNE.8_1,08,2023,0,0
MNE.9_1,08,2023,0,0
NLD.10_1,08,2023,0,0
NLD.11_1,08,2023,0,0
NLD.12_1,08,2023,0,0
NLD.14_1,08,2023,0,0
NLD.1_1,08,2023,0,0
NLD.2_1,08,2023,0,0
NLD.3_1,08,2023,0,0
NLD.4_1,08,2023,0,0
NLD.5_1,08,2023,0,0
NLD.7_1,08,2023,0,0
NLD.8_1,08,2023,0,0
POL.10_1,08,2023,0,0
POL.11_1,08,2023,0,0
POL.12_1,08,2023,0,0
POL.14_1,08,2023,0,0
POL.15_1,08,2023,0,0
POL.16_1,08,2023,0,0
POL.1_1,08,2023,0,0
POL.2_1,08,2023,0,0
POL.3_1,08,2023,0,0
POL.4_1,08,2023,0,0
POL.5_1,08,2023,0,0
POL.6_1,08,2023,0,0
POL.7_1,08,2023,0,0
POL.8_1,08,2023,0,0
POL.9_1,08,2023,0,0
PRT.10_1,08,2023,0,0
PRT.11_1,08,2023,0,0
PRT.12_1,08,2023,0,0
