year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-0.75,40.800000000000004,-0.75_40.8,0,0
2021,10,-0.75,40.95,-0.75_40.95,0,0
2021,10,-0.75,41.2,-0.75_41.2,0,0
2021,10,-0.75,41.25,-0.75_41.25,0,0
2021,10,-0.75,41.300000000000004,-0.75_41.3,0,0
2021,10,-0.75,41.550000000000004,-0.75_41.55,0,0
2021,10,-0.75,41.6,-0.75_41.6,0,0
2021,10,-0.75,41.7,-0.75_41.7,0,0
2021,10,-0.75,41.900000000000006,-0.75_41.9,0,0
2021,10,-0.75,41.95,-0.75_41.95,0,0
2021,10,-0.75,42.300000000000004,-0.75_42.3,0,0
2021,10,-0.75,42.550000000000004,-0.75_42.55,0,0
2021,10,-0.75,42.7,-0.75_42.7,0,0
2021,10,-0.75,42.75,-0.75_42.75,0,0
2021,10,-0.75,42.800000000000004,-0.75_42.8,0,0
2021,10,-0.75,43,-0.75_43,0,0
2021,10,-0.75,43.050000000000004,-0.75_43.05,0,0
2021,10,-0.75,44.800000000000004,-0.75_44.8,0,0
2021,10,-0.75,44.900000000000006,-0.75_44.9,0,0
2021,10,-0.75,45.050000000000004,-0.75_45.05,0,0
2021,10,-0.75,49.25,-0.75_49.25,0,0
2021,10,-1,37.6,-1_37.6,0.999,0.03162277660168379
2021,10,-1,37.65,-1_37.65,0,0
2021,10,-1,37.7,-1_37.7,0,0
2021,10,-1,37.75,-1_37.75,0,0
2021,10,-1,37.800000000000004,-1_37.8,0,0
2021,10,-1,37.85,-1_37.85,0,0
2021,10,-1,37.9,-1_37.9,0,0
2021,10,-1,37.95,-1_37.95,0,0
2021,10,-1,38,-1_38,0,0
2021,10,-1,38.050000000000004,-1_38.05,0.11824176192702521,0
2021,10,-1,38.1,-1_38.1,0,0
2021,10,-1,38.15,-1_38.15,0,0
2021,10,-1,38.25,-1_38.25,0,0
2021,10,-1,38.300000000000004,-1_38.3,0,0
2021,10,-1,38.400000000000006,-1_38.4,0,0
2021,10,-1,38.6,-1_38.6,0,0
2021,10,-1,38.650000000000006,-1_38.65,0,0
2021,10,-1,38.7,-1_38.7,0,0
2021,10,-1,38.75,-1_38.75,0,0
2021,10,-1,38.800000000000004,-1_38.8,0,0
2021,10,-1,38.900000000000006,-1_38.9,0,0
2021,10,-1,39.400000000000006,-1_39.4,0,0
2021,10,-1,39.45,-1_39.45,0,0
2021,10,-1,39.550000000000004,-1_39.55,0,0
2021,10,-1,39.7,-1_39.7,0,0
2021,10,-1,39.75,-1_39.75,0,0
2021,10,-1,39.85,-1_39.85,0,0
2021,10,-1,40.2,-1_40.2,0,0
2021,10,-1,40.25,-1_40.25,0,0
2021,10,-1,40.300000000000004,-1_40.3,0,0
2021,10,-1,40.6,-1_40.6,0,0
2021,10,-1,40.7,-1_40.7,0,0
2021,10,-1,41.300000000000004,-1_41.3,0,0
2021,10,-1,41.5,-1_41.5,0,0
2021,10,-1,41.550000000000004,-1_41.55,0,0
2021,10,-1,41.6,-1_41.6,0,0
2021,10,-1,41.650000000000006,-1_41.65,0,0
2021,10,-1,41.7,-1_41.7,0,0
2021,10,-1,42.1,-1_42.1,0,0
2021,10,-1,42.75,-1_42.75,0,0
2021,10,-1,42.800000000000004,-1_42.8,0,0
2021,10,-1,42.95,-1_42.95,0,0
2021,10,-1,43,-1_43,0,0
2021,10,-1,44.6,-1_44.6,0,0
2021,10,-1.25,37.550000000000004,-1.25_37.55,0,0
2021,10,-1.25,37.6,-1.25_37.6,0,0
2021,10,-1.25,37.65,-1.25_37.65,0,0
2021,10,-1.25,37.7,-1.25_37.7,0,0
2021,10,-1.25,37.85,-1.25_37.85,0,0
2021,10,-1.25,37.9,-1.25_37.9,0,0
2021,10,-1.25,37.95,-1.25_37.95,0,0
2021,10,-1.25,38,-1.25_38,0,0
2021,10,-1.25,38.050000000000004,-1.25_38.05,0,0
2021,10,-1.25,38.1,-1.25_38.1,0,0
2021,10,-1.25,38.15,-1.25_38.15,0,0
2021,10,-1.25,38.45,-1.25_38.45,0,0
2021,10,-1.25,38.6,-1.25_38.6,0,0
2021,10,-1.25,38.85,-1.25_38.85,0,0
2021,10,-1.25,38.95,-1.25_38.95,0,0
2021,10,-1.25,39.400000000000006,-1.25_39.4,0,0
2021,10,-1.25,39.550000000000004,-1.25_39.55,0,0
2021,10,-1.25,39.650000000000006,-1.25_39.65,0,0
2021,10,-1.25,39.7,-1.25_39.7,0,0
2021,10,-1.25,39.75,-1.25_39.75,0,0
2021,10,-1.25,40.050000000000004,-1.25_40.05,0,0
2021,10,-1.25,40.400000000000006,-1.25_40.4,0,0
2021,10,-1.25,40.45,-1.25_40.45,0,0
2021,10,-1.25,40.800000000000004,-1.25_40.8,0,0
2021,10,-1.25,41.2,-1.25_41.2,0,0
2021,10,-1.25,41.25,-1.25_41.25,0,0
2021,10,-1.25,41.300000000000004,-1.25_41.3,0,0
2021,10,-1.25,41.35,-1.25_41.35,0,0
