year,month,ID_2,est,se
2021,03,ITA.20.7_1,0.091,0.28775302222878874
2021,03,ITA.3.1_1,0,0
2021,03,ITA.3.2_1,0.096,0.2947386484173239
2021,03,ITA.4.1_1,0,0
2021,03,ITA.4.2_1,0.494,0.5002141683461337
2021,03,ITA.4.3_1,0,0
2021,03,ITA.4.4_1,0,0
2021,03,ITA.4.5_1,0,0
2021,03,ITA.5.1_1,0,0
2021,03,ITA.5.2_1,0,0
2021,03,ITA.5.3_1,0.104,0.30541328929383094
2021,03,ITA.5.4_1,0.535,0.4990230696310783
2021,03,ITA.5.5_1,0.123,0.32860155048170264
2021,03,ITA.6.1_1,0.33,0.47044800065609943
2021,03,ITA.6.2_1,0.025,0.15620307103062794
2021,03,ITA.6.3_1,0.057,0.2319586273558386
2021,03,ITA.6.4_1,0.001,0.03162277660168379
2021,03,ITA.6.5_1,0.023,0.1499783100768024
2021,03,ITA.6.6_1,0.385,0.48683879468671354
2021,03,ITA.6.7_1,0.021,0.14345584540052586
2021,03,ITA.6.8_1,0.375,0.48436516143258035
2021,03,ITA.6.9_1,0.002,0.04469897088298564
2021,03,ITA.7.1_1,0.029,0.1678904023081343
2021,03,ITA.7.2_1,0.719,0.4497123983628217
2021,03,ITA.7.3_1,0.014,0.11754921445002436
2021,03,ITA.7.4_1,0.89,0.31304631925323445
2021,03,ITA.8.1_1,0.559,0.49675523728066096
2021,03,ITA.8.2_1,0.638,0.4808192874533916
2021,03,ITA.8.3_1,0,0
2021,03,ITA.8.4_1,1,0
2021,03,ITA.8.5_1,0,0
2021,03,ITA.9.1_1,0.121,0.3262904618058356
2021,03,ITA.9.2_1,0.065,0.24664921616708177
2021,03,ITA.9.3_1,0.009,0.09448771310560929
2021,03,ITA.9.4_1,0.191,0.3932857404911519
2021,03,NLD.1.1_1,0.112,0.3155242550986462
2021,03,NLD.1.10_1,0.099,0.2988114594326802
2021,03,NLD.1.11_1,0.337,0.4729214043101186
2021,03,NLD.1.12_1,0,0
2021,03,NLD.1.2_1,0.017,0.1293357171384909
2021,03,NLD.1.3_1,0.087,0.2819760814510878
2021,03,NLD.1.4_1,0.002,0.04469897088298564
2021,03,NLD.1.5_1,0,0
2021,03,NLD.1.6_1,0.015,0.12161327966052798
2021,03,NLD.1.7_1,0.098,0.29746341705239066
2021,03,NLD.1.8_1,0.76,0.42729683193604723
2021,03,NLD.1.9_1,0.011,0.10435463521037237
2021,03,NLD.10.1_1,0.009,0.09448771310560929
2021,03,NLD.10.10_1,0.001,0.03162277660168379
2021,03,NLD.10.11_1,0.763,0.4254550646214145
2021,03,NLD.10.12_1,0.043,0.2029585972364615
2021,03,NLD.10.13_1,0.103,0.304110972316823
2021,03,NLD.10.14_1,0.547,0.4980351785155734
2021,03,NLD.10.15_1,0.362,0.4808192874533916
