lon,lat,est,se,month
-0.25,39.025,0,0,07
-0.25,39.05,0,0,07
-0.25,39.074999999999996,0,0,07
-0.25,39.075,0,0,07
-0.25,39.1,0,0,07
-0.25,39.125,0,0,07
-0.25,39.175,0,0,07
-0.25,39.2,0,0,07
-0.25,39.625,0,0,07
-0.25,39.65,0,0,07
-0.25,39.650000000000006,0,0,07
-0.25,39.675,0,0,07
-0.25,39.7,0,0,07
-0.25,39.725,0,0,07
-0.25,39.75,0,0,07
-0.25,39.775,0,0,07
-0.25,39.775000000000006,0,0,07
-0.25,39.8,0,0,07
-0.25,39.824999999999996,0,0,07
-0.25,39.9,0,0,07
-0.25,39.900000000000006,0,0,07
-0.25,39.925,0,0,07
-0.25,39.95,0,0,07
-0.25,39.975,0,0,07
-0.25,40.05,0,0,07
-0.25,40.074999999999996,0,0,07
-0.25,40.1,0,0,07
-0.25,40.125,0,0,07
-0.25,40.55,0,0,07
-0.25,40.574999999999996,0,0,07
-0.25,40.6,0,0,07
-0.25,40.625,0,0,07
-0.25,40.65,0,0,07
-0.25,40.650000000000006,0,0,07
-0.25,40.675,0,0,07
-0.25,40.75,0,0,07
-0.25,40.775,0,0,07
-0.25,40.8,0,0,07
-0.25,40.824999999999996,0,0,07
-0.25,40.825,0,0,07
-0.25,40.9,0,0,07
-0.25,40.925,0,0,07
-0.25,40.95,0,0,07
-0.25,40.975,0,0,07
-0.25,41,0,0,07
-0.25,41.025,0,0,07
-0.25,41.05,0,0,07
-0.25,41.074999999999996,0,0,07
-0.25,41.45,0,0,07
-0.25,41.475,0,0,07
-0.25,41.525000000000006,0,0,07
-0.27499999999999997,38.5,0,0,07
-0.275,38.5,0,0,07
-0.27499999999999997,38.55,0,0,07
-0.275,38.575,0,0,07
-0.27499999999999997,38.6,0,0,07
-0.275,38.6,0,0,07
-0.27499999999999997,38.95,0,0,07
-0.275,38.975,0,0,07
-0.27499999999999997,39.05,0,0,07
-0.275,39.05,0,0,07
-0.27499999999999997,39.15,0,0,07
-0.275,39.150000000000006,0,0,07
-0.275,39.175,0,0,07
-0.27499999999999997,39.2,0,0,07
-0.275,39.225,0,0,07
-0.27499999999999997,39.6,0,0,07
-0.275,39.6,0,0,07
-0.27499999999999997,39.625,0,0,07
-0.275,39.625,0,0,07
-0.27499999999999997,39.65,0,0,07
-0.275,39.650000000000006,0,0,07
-0.27499999999999997,39.675,0,0,07
-0.275,39.675,0,0,07
-0.27499999999999997,39.7,0,0,07
-0.275,39.7,0,0,07
-0.275,39.725,0,0,07
-0.27499999999999997,39.95,0,0,07
-0.275,39.95,0,0,07
-0.27499999999999997,40.05,0,0,07
-0.275,40.05,0,0,07
-0.27499999999999997,40.8,0,0,07
-0.275,40.8,0,0,07
-0.275,40.825,0,0,07
-0.27499999999999997,41.5,0,0,07
-0.27499999999999997,41.525,0,0,07
